Id,UserId,Date
1,5,2010-07-19 19:39:07
2,6,2010-07-19 19:39:07
3,8,2010-07-19 19:39:07
4,23,2010-07-19 19:39:07
5,36,2010-07-19 19:39:07
6,37,2010-07-19 19:39:07
7,50,2010-07-19 19:39:07
8,55,2010-07-19 19:39:07
9,5,2010-07-19 19:39:07
10,8,2010-07-19 19:39:07
11,13,2010-07-19 19:39:08
12,18,2010-07-19 19:39:08
13,23,2010-07-19 19:39:08
14,24,2010-07-19 19:39:08
16,59,2010-07-19 19:39:08
17,66,2010-07-19 19:39:08
18,69,2010-07-19 19:39:08
19,75,2010-07-19 19:39:08
20,13,2010-07-19 19:39:08
21,23,2010-07-19 19:39:08
22,6,2010-07-19 19:39:08
23,60,2010-07-19 19:39:08
24,80,2010-07-19 19:39:08
25,6,2010-07-19 19:39:09
26,22,2010-07-19 19:39:09
27,23,2010-07-19 19:39:09
28,24,2010-07-19 19:39:09
29,41,2010-07-19 19:39:09
31,50,2010-07-19 19:39:09
32,55,2010-07-19 19:39:09
33,57,2010-07-19 19:39:09
34,59,2010-07-19 19:39:09
35,62,2010-07-19 19:39:09
37,64,2010-07-19 19:39:09
38,66,2010-07-19 19:39:09
39,69,2010-07-19 19:39:09
40,71,2010-07-19 19:39:09
41,76,2010-07-19 19:39:09
42,77,2010-07-19 19:39:09
43,78,2010-07-19 19:39:09
44,80,2010-07-19 19:39:09
45,81,2010-07-19 19:39:09
46,88,2010-07-19 19:39:09
47,23,2010-07-19 19:39:09
48,60,2010-07-19 19:39:09
49,61,2010-07-19 19:39:09
50,74,2010-07-19 19:39:09
51,2,2010-07-19 19:39:09
52,3,2010-07-19 19:39:09
53,7,2010-07-19 19:39:09
54,8,2010-07-19 19:39:09
55,10,2010-07-19 19:39:09
56,11,2010-07-19 19:39:09
57,12,2010-07-19 19:39:09
58,13,2010-07-19 19:39:09
60,18,2010-07-19 19:39:09
61,19,2010-07-19 19:39:09
62,27,2010-07-19 19:39:09
63,29,2010-07-19 19:39:09
64,38,2010-07-19 19:39:10
65,39,2010-07-19 19:39:10
66,40,2010-07-19 19:39:10
67,41,2010-07-19 19:39:10
69,46,2010-07-19 19:39:10
70,50,2010-07-19 19:39:10
71,53,2010-07-19 19:39:10
72,54,2010-07-19 19:39:10
73,55,2010-07-19 19:39:10
74,57,2010-07-19 19:39:10
75,59,2010-07-19 19:39:10
76,60,2010-07-19 19:39:10
77,62,2010-07-19 19:39:10
78,64,2010-07-19 19:39:10
79,65,2010-07-19 19:39:10
80,66,2010-07-19 19:39:10
81,69,2010-07-19 19:39:10
82,71,2010-07-19 19:39:10
83,74,2010-07-19 19:39:10
84,75,2010-07-19 19:39:10
85,76,2010-07-19 19:39:10
86,78,2010-07-19 19:39:10
87,80,2010-07-19 19:39:10
88,84,2010-07-19 19:39:10
89,85,2010-07-19 19:39:10
90,88,2010-07-19 19:39:10
91,23,2010-07-19 19:39:10
93,22,2010-07-19 19:44:07
94,62,2010-07-19 19:44:07
